resolution_kind,option_name,choice,weighted_total,weight_share,selected
signature_select,Bonnie Walsh,09019,3.138270053778088,1.0,True
signature_select,Burden of Leadership,09020,3.138270053778088,1.0,True
faction_pair,Class Choice,guardian+rogue,0.8297355525332059,0.26512594405176954,True
faction_pair,Class Choice,guardian+survivor,0.7142921036018449,0.22823822327245,False
faction_pair,Class Choice,guardian+seeker,0.34058928289991375,0.10882871643509706,False
faction_pair,Class Choice,rogue+survivor,0.27667619348032796,0.08840652515029646,False
faction_pair,Class Choice,mystic+seeker,0.2218766517581559,0.07089639172484732,False
faction_pair,Class Choice,mystic+rogue,0.19559350964179695,0.062498122125609415,False
faction_pair,Class Choice,seeker+survivor,0.1605936614991878,0.051314597745886675,False
faction_pair,Class Choice,rogue+seeker,0.15960523604863594,0.05099876551487971,False
faction_pair,Class Choice,guardian+mystic,0.11701897126745231,0.03739114846233925,False
faction_pair,Class Choice,guardian+guardian,0.08446946674324345,0.026990583982425802,False
faction_pair,Class Choice,mystic+survivor,0.0291395564311965,0.009310981534398702,False
faction_pair,Class Choice,mystic+mystic,0.0,0.0,False
faction_pair,Class Choice,rogue+rogue,0.0,0.0,False
faction_pair,Class Choice,seeker+seeker,0.0,0.0,False
faction_pair,Class Choice,survivor+survivor,0.0,0.0,False
